insert into product_order (id, product_id, order_id) values (1, 474, 2);
insert into product_order (id, product_id, order_id) values (2, 745, 3);
insert into product_order (id, product_id, order_id) values (3, 302, 4);
insert into product_order (id, product_id, order_id) values (4, 245, 5);
insert into product_order (id, product_id, order_id) values (5, 144, 6);
insert into product_order (id, product_id, order_id) values (6, 613, 7);
insert into product_order (id, product_id, order_id) values (7, 482, 8);
insert into product_order (id, product_id, order_id) values (8, 460, 9);
insert into product_order (id, product_id, order_id) values (9, 676, 10);
insert into product_order (id, product_id, order_id) values (10, 688, 11);
insert into product_order (id, product_id, order_id) values (11, 83, 12);
insert into product_order (id, product_id, order_id) values (12, 700, 13);
insert into product_order (id, product_id, order_id) values (13, 471, 14);
insert into product_order (id, product_id, order_id) values (14, 767, 15);
insert into product_order (id, product_id, order_id) values (15, 833, 16);
insert into product_order (id, product_id, order_id) values (16, 355, 17);
insert into product_order (id, product_id, order_id) values (17, 985, 18);
insert into product_order (id, product_id, order_id) values (18, 802, 19);
insert into product_order (id, product_id, order_id) values (19, 973, 20);
insert into product_order (id, product_id, order_id) values (20, 993, 21);
insert into product_order (id, product_id, order_id) values (21, 826, 22);
insert into product_order (id, product_id, order_id) values (22, 15, 23);
insert into product_order (id, product_id, order_id) values (23, 458, 24);
insert into product_order (id, product_id, order_id) values (24, 342, 25);
insert into product_order (id, product_id, order_id) values (25, 736, 26);
insert into product_order (id, product_id, order_id) values (26, 990, 27);
insert into product_order (id, product_id, order_id) values (27, 275, 28);
insert into product_order (id, product_id, order_id) values (28, 264, 29);
insert into product_order (id, product_id, order_id) values (29, 207, 30);
insert into product_order (id, product_id, order_id) values (30, 56, 31);
insert into product_order (id, product_id, order_id) values (31, 87, 32);
insert into product_order (id, product_id, order_id) values (32, 111, 33);
insert into product_order (id, product_id, order_id) values (33, 991, 34);
insert into product_order (id, product_id, order_id) values (34, 272, 35);
insert into product_order (id, product_id, order_id) values (35, 598, 36);
insert into product_order (id, product_id, order_id) values (36, 179, 37);
insert into product_order (id, product_id, order_id) values (37, 391, 38);
insert into product_order (id, product_id, order_id) values (38, 293, 39);
insert into product_order (id, product_id, order_id) values (39, 372, 40);
insert into product_order (id, product_id, order_id) values (40, 35, 41);
insert into product_order (id, product_id, order_id) values (41, 822, 42);
insert into product_order (id, product_id, order_id) values (42, 953, 43);
insert into product_order (id, product_id, order_id) values (43, 95, 44);
insert into product_order (id, product_id, order_id) values (44, 386, 45);
insert into product_order (id, product_id, order_id) values (45, 32, 46);
insert into product_order (id, product_id, order_id) values (46, 600, 47);
insert into product_order (id, product_id, order_id) values (47, 1, 48);
insert into product_order (id, product_id, order_id) values (48, 265, 49);
insert into product_order (id, product_id, order_id) values (49, 877, 50);
insert into product_order (id, product_id, order_id) values (50, 285, 51);
insert into product_order (id, product_id, order_id) values (51, 960, 52);
insert into product_order (id, product_id, order_id) values (52, 465, 53);
insert into product_order (id, product_id, order_id) values (53, 551, 54);
insert into product_order (id, product_id, order_id) values (54, 301, 55);
insert into product_order (id, product_id, order_id) values (55, 491, 56);
insert into product_order (id, product_id, order_id) values (56, 63, 57);
insert into product_order (id, product_id, order_id) values (57, 355, 58);
insert into product_order (id, product_id, order_id) values (58, 250, 59);
insert into product_order (id, product_id, order_id) values (59, 97, 60);
insert into product_order (id, product_id, order_id) values (60, 786, 61);
insert into product_order (id, product_id, order_id) values (61, 443, 62);
insert into product_order (id, product_id, order_id) values (62, 378, 63);
insert into product_order (id, product_id, order_id) values (63, 104, 64);
insert into product_order (id, product_id, order_id) values (64, 308, 65);
insert into product_order (id, product_id, order_id) values (65, 810, 66);
insert into product_order (id, product_id, order_id) values (66, 245, 67);
insert into product_order (id, product_id, order_id) values (67, 396, 68);
insert into product_order (id, product_id, order_id) values (68, 604, 69);
insert into product_order (id, product_id, order_id) values (69, 20, 70);
insert into product_order (id, product_id, order_id) values (70, 557, 71);
